invoice_number,order_date,store_number,county_number,category_number,vendor_number,item_number,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,etl_date
S26504700003,2015-07-08,4957,81,10121000,65,15246,12,750,4.2,6.3,12,75.6,9.0,2.38,2025-02-25T13:13:16.885776
S26627000011,2015-07-09,3997,20,10411000,434,31658,6,1750,7.11,10.67,12,128.04,21.0,5.55,2025-02-25T13:13:16.885776
S26662000004,2015-07-13,4749,82,10310800,434,36306,12,750,3.34,5.01,12,60.12,9.0,2.38,2025-02-25T13:13:16.885776
S26682300064,2015-07-14,3477,78,10221000,260,89175,6,750,32.49,48.74,18,877.32,13.5,3.57,2025-02-25T13:13:16.885776
S26682200018,2015-07-15,3447,97,10711000,395,58875,6,1750,10.5,15.75,6,94.5,10.5,2.77,2025-02-25T13:13:16.885776
S26728000003,2015-07-16,4512,7,10310800,297,35918,6,1750,7.2,10.8,6,64.8,10.5,2.77,2025-02-25T13:13:16.885776
S26812900003,2015-07-20,4843,70,10829000,192,65253,48,200,3.51,5.27,48,252.96,9.6,2.54,2025-02-25T13:13:16.885776
S26814200016,2015-07-21,3477,78,10813120,65,82787,12,1000,7.62,11.43,12,137.16,12.0,3.17,2025-02-25T13:13:16.885776
S26813700016,2015-07-22,3354,82,10813000,434,80577,12,1000,3.84,5.76,36,207.36,36.0,9.51,2025-02-25T13:13:16.885776
S26829600002,2015-07-23,4370,91,10310800,260,37996,12,750,8.25,12.38,6,74.28,4.5,1.19,2025-02-25T13:13:16.885776
S26895900029,2015-07-27,4892,82,10312000,380,41783,6,500,4.89,7.34,6,44.04,3.0,0.79,2025-02-25T13:13:16.885776
S26944300006,2015-07-28,3477,78,10221000,421,88767,12,1000,6.64,9.96,12,119.52,12.0,3.17,2025-02-25T13:13:16.885776
S26934900003,2015-07-29,4728,52,10310800,301,38176,12,750,9.65,14.48,12,173.76,9.0,2.38,2025-02-25T13:13:16.885776
S26941500007,2015-07-30,5144,77,10711000,395,58875,6,1750,10.5,15.75,144,2268.0,252.0,66.57,2025-02-25T13:13:16.885776
S27077300001,2015-07-31,2190,77,10310800,421,38088,6,1750,9.44,14.16,60,849.6,105.0,27.74,2025-02-25T13:13:16.885776
S27029200005,2015-08-03,4718,77,10310800,205,36969,12,750,6.9,10.35,24,248.4,18.0,4.76,2025-02-25T13:13:16.885776
S27076300011,2015-08-04,3420,77,10121000,85,12479,6,1750,11.06,16.59,24,398.16,42.0,11.1,2025-02-25T13:13:16.885776
S27070100005,2015-08-05,4677,52,10221000,395,89206,12,750,15.46,23.19,168,3895.92,126.0,33.29,2025-02-25T13:13:16.885776
S27145000048,2015-08-06,4345,79,10312000,380,41693,12,750,6.5,9.75,1,9.75,0.75,0.2,2025-02-25T13:13:16.885776
S27206000005,2015-08-07,2626,77,10111000,260,25604,24,375,3.5,5.25,2,10.5,0.75,0.2,2025-02-25T13:13:16.885776
S27122400024,2015-08-10,4541,23,10623100,259,43024,24,375,2.74,4.11,3,12.33,1.12,0.3,2025-02-25T13:13:16.885776
S27205100007,2015-08-11,3477,78,10112000,65,20247,12,1000,5.51,8.27,12,99.24,12.0,3.17,2025-02-25T13:13:16.885776
S27205300031,2015-08-12,3524,85,10221000,461,89139,6,750,20.76,31.14,6,186.84,4.5,1.19,2025-02-25T13:13:16.885776
S27202600011,2015-08-13,4530,57,10816000,421,64865,12,750,8.98,13.47,12,161.64,9.0,2.38,2025-02-25T13:13:16.885776
S27332700041,2015-08-17,3494,7,10114000,85,26906,6,750,27.09,40.64,6,243.84,4.5,1.19,2025-02-25T13:13:16.885776
S27333400024,2015-08-18,3944,31,10122000,370,4717,12,1000,24.99,37.49,12,449.88,12.0,3.17,2025-02-25T13:13:16.885776
S27327500012,2015-08-19,3660,63,10623100,260,43338,6,1750,18.0,27.0,6,162.0,10.5,2.77,2025-02-25T13:13:16.885776
S27332900033,2015-08-20,5144,77,10221000,65,89787,12,1000,11.55,17.33,12,207.96,12.0,3.17,2025-02-25T13:13:16.885776
S27369900003,2015-08-24,4549,85,10310800,297,35918,6,1750,7.2,10.8,12,129.6,21.0,5.55,2025-02-25T13:13:16.885776
S27454100028,2015-08-25,3944,31,10813350,65,73456,12,750,6.3,9.45,48,453.6,36.0,9.51,2025-02-25T13:13:16.885776
S27452400002,2015-08-26,3354,82,10310800,55,35318,6,1750,6.92,10.38,300,3114.0,525.0,138.69,2025-02-25T13:13:16.885776
S27541500007,2015-08-27,5034,17,10310800,434,36307,12,1000,4.05,6.08,12,72.96,12.0,3.17,2025-02-25T13:13:16.885776
S27513000003,2015-08-31,4416,39,10310800,434,36306,12,750,3.34,5.01,12,60.12,9.0,2.38,2025-02-25T13:13:16.885776
S27581500014,2015-09-01,4634,57,10320800,370,34004,24,375,6.49,9.74,8,77.92,3.0,0.79,2025-02-25T13:13:16.885776
S27587700002,2015-09-02,5009,52,10421000,240,28625,6,750,17.92,26.88,4,107.52,3.0,0.79,2025-02-25T13:13:16.885776
S27685700003,2015-09-03,4613,14,10312000,260,77647,12,750,8.25,12.38,3,37.14,2.25,0.59,2025-02-25T13:13:16.885776
S27714000003,2015-09-04,2532,77,10510100,205,52582,12,750,7.0,10.5,12,126.0,9.0,2.38,2025-02-25T13:13:16.885776
S27724400002,2015-09-08,4310,18,10310800,380,37348,6,1750,7.6,11.4,6,68.4,10.5,2.77,2025-02-25T13:13:16.885776
S27765700002,2015-09-09,4308,52,10711000,260,58801,6,1750,11.0,16.5,6,99.0,10.5,2.77,2025-02-25T13:13:16.885776
S27758600006,2015-09-10,4544,20,10310800,300,36903,48,200,1.13,1.7,96,163.2,19.2,5.07,2025-02-25T13:13:16.885776
S27751300001,2015-09-14,4908,22,10320800,370,34006,12,750,11.49,17.24,6,103.44,4.5,1.19,2025-02-25T13:13:16.885776
S27845600010,2015-09-15,3420,77,10622000,434,45277,12,1000,4.34,6.51,36,234.36,36.0,9.51,2025-02-25T13:13:16.885776
S27845000057,2015-09-16,3354,82,10310800,55,37938,6,1750,7.11,10.67,6,64.02,10.5,2.77,2025-02-25T13:13:16.885776
S27844000011,2015-09-17,4713,52,10312000,380,41693,12,750,6.5,9.75,12,117.0,9.0,2.38,2025-02-25T13:13:16.885776
S27989500001,2015-09-18,2539,42,10121000,65,903499,12,750,11.54,17.31,12,207.72,9.0,2.38,2025-02-25T13:13:16.885776
S27969300002,2015-09-21,3814,25,10320800,260,34457,12,1000,17.5,26.25,12,315.0,12.0,3.17,2025-02-25T13:13:16.885776
S27976000009,2015-09-22,4961,31,10816000,421,64858,1,3000,29.72,44.58,2,89.16,6.0,1.59,2025-02-25T13:13:16.885776
S27986200009,2015-09-23,3447,97,10121000,55,12408,6,1750,9.14,13.71,180,2467.8,315.0,83.21,2025-02-25T13:13:16.885776
S28045400037,2015-09-24,4353,17,10310800,260,37994,24,375,4.75,7.13,8,57.04,3.0,0.79,2025-02-25T13:13:16.885776
S28105500018,2015-09-25,2545,52,10115000,259,18096,12,750,9.47,14.21,3,42.63,2.25,0.59,2025-02-25T13:13:16.885776
S28111400011,2015-09-28,4801,77,10411000,205,31475,12,750,6.9,10.35,12,124.2,9.0,2.38,2025-02-25T13:13:16.885776
S28126800001,2015-09-29,4700,12,10511000,434,54448,6,1750,11.29,16.94,6,101.64,10.5,2.77,2025-02-25T13:13:16.885776
S27994300005,2015-09-30,2545,52,10112000,421,902574,12,750,8.43,12.65,3,37.95,2.25,0.59,2025-02-25T13:13:16.885776
S28143700010,2015-10-01,4782,27,10510100,205,52596,12,750,5.92,8.88,6,53.28,4.5,1.19,2025-02-25T13:13:16.885776
S28244600026,2015-10-02,3785,77,10312000,380,41704,12,750,6.5,9.75,2,19.5,1.5,0.4,2025-02-25T13:13:16.885776
S28162100016,2015-10-05,5044,78,10622000,260,43328,12,750,9.0,13.5,6,81.0,4.5,1.19,2025-02-25T13:13:16.885776
S28242600036,2015-10-06,3420,77,10421000,240,28625,6,750,17.92,26.88,6,161.28,4.5,1.19,2025-02-25T13:13:16.885776
S28230700006,2015-10-07,4532,11,10310800,259,35416,12,750,4.18,6.6,12,79.2,9.0,2.38,2025-02-25T13:13:16.885776
S28291500022,2015-10-08,3540,82,10113000,85,26586,12,750,20.01,30.02,6,180.12,4.5,1.19,2025-02-25T13:13:16.885776
S27087200009,2015-10-12,4910,7,17011000,260,1400,6,750,15.0,22.5,6,135.0,4.5,1.19,2025-02-25T13:13:16.885776
S27209000005,2015-10-13,2353,45,17011000,370,490,10,600,19.98,29.97,4,119.88,2.4,0.63,2025-02-25T13:13:16.885776
S27123100030,2015-10-14,3842,55,,461,3337,6,750,10.5,15.75,6,94.5,4.5,1.19,2025-02-25T13:13:16.885776
S27691700001,2015-10-15,5144,77,17011000,35,494,3,1750,35.42,53.13,120,6375.6,210.0,55.48,2025-02-25T13:13:16.885776
S28415500012,2015-10-19,3814,25,10112000,461,22157,12,1000,16.16,24.24,36,872.64,36.0,9.51,2025-02-25T13:13:16.885776
S28495400028,2015-10-20,3477,78,10810100,434,76487,12,1000,4.05,6.08,12,72.96,12.0,3.17,2025-02-25T13:13:16.885776
S28494900061,2015-10-21,3354,82,10813900,260,69947,12,1000,15.75,23.63,72,1701.36,72.0,19.02,2025-02-25T13:13:16.885776
S28495200022,2015-10-22,5144,77,10623100,260,43338,6,1750,18.0,27.0,18,486.0,31.5,8.32,2025-02-25T13:13:16.885776
S28637800003,2015-10-26,4800,77,10623100,260,43336,12,750,9.0,13.5,12,162.0,9.0,2.38,2025-02-25T13:13:16.885776
S28616600002,2015-10-27,3632,31,,259,59100,12,750,4.46,6.69,10,66.9,7.5,1.98,2025-02-25T13:13:16.885776
S28617900002,2015-10-28,3722,97,,259,59100,12,750,4.46,6.69,9,60.21,6.75,1.78,2025-02-25T13:13:16.885776
S28636900024,2015-10-29,5144,77,10411000,434,30528,6,1750,7.17,10.76,6,64.56,10.5,2.77,2025-02-25T13:13:16.885776
S28770700001,2015-10-30,2190,77,10121000,115,11788,6,1750,9.45,14.68,18,264.24,31.5,8.32,2025-02-25T13:13:16.885776
S28766600015,2015-11-02,4487,57,10623100,260,43336,12,750,9.0,13.5,12,162.0,9.0,2.38,2025-02-25T13:13:16.885776
S28734500008,2015-11-03,4531,88,10623100,260,43336,12,750,9.0,13.5,12,162.0,9.0,2.38,2025-02-25T13:13:16.885776
S28768600034,2015-11-04,3354,82,10421000,260,28868,6,1750,24.99,37.49,6,224.94,10.5,2.77,2025-02-25T13:13:16.885776
S28821700020,2015-11-05,3540,82,10623100,395,46504,12,750,10.0,15.0,6,90.0,4.5,1.19,2025-02-25T13:13:16.885776
S28865800001,2015-11-09,2539,42,17011000,962,238,6,1500,11.62,17.43,6,104.58,9.0,2.38,2025-02-25T13:13:16.885776
S28852900008,2015-11-10,4788,57,10310800,260,38008,6,1750,14.75,22.13,6,132.78,10.5,2.77,2025-02-25T13:13:16.885776
S28901400008,2015-11-11,3524,85,10121000,260,11366,12,750,25.0,37.5,36,1350.0,27.0,7.13,2025-02-25T13:13:16.885776
S28913100002,2015-11-12,2663,77,10112000,421,917946,12,750,15.0,22.5,5,112.5,3.75,0.99,2025-02-25T13:13:16.885776
S28968500001,2015-11-16,3811,56,17011000,260,361,6,750,13.25,19.88,30,596.4,22.5,5.94,2025-02-25T13:13:16.885776
S29048200008,2015-11-17,4510,65,10310800,297,35916,12,750,3.37,5.06,12,60.72,9.0,2.38,2025-02-25T13:13:16.885776
S29024800013,2015-11-18,4907,7,10312000,260,41116,12,750,9.99,14.99,3,44.97,2.25,0.59,2025-02-25T13:13:16.885776
S29103600010,2015-11-19,4944,91,10813000,434,80571,12,500,4.55,6.83,12,81.96,6.0,1.59,2025-02-25T13:13:16.885776
S29179200013,2015-11-20,4578,89,10310800,434,36308,6,1750,7.17,10.76,12,129.12,21.0,5.55,2025-02-25T13:13:16.885776
S29131100017,2015-11-21,5176,57,10623100,260,43336,12,750,9.0,13.5,12,162.0,9.0,2.38,2025-02-25T13:13:16.885776
S29168100004,2015-11-23,3354,82,10121000,55,12408,6,1750,9.14,13.71,90,1233.9,157.5,41.61,2025-02-25T13:13:16.885776
S29210800003,2015-11-24,5144,77,10411000,434,31657,12,1000,4.3,6.45,12,77.4,12.0,3.17,2025-02-25T13:13:16.885776
S29241900002,2015-11-25,5089,43,10623100,260,43334,24,375,5.0,7.5,6,45.0,2.25,0.59,2025-02-25T13:13:16.885776
S29233600001,2015-11-30,2633,77,10312000,300,941940,12,750,7.0,10.5,12,126.0,9.0,2.38,2025-02-25T13:13:16.885776
S29252800004,2015-12-01,5097,57,10623100,259,43025,12,750,5.78,8.67,12,104.04,9.0,2.38,2025-02-25T13:13:16.885776
S29292100023,2015-12-02,2852,77,10311000,300,36886,12,750,3.31,4.97,12,59.64,9.0,2.38,2025-02-25T13:13:16.885776
S29312900022,2015-12-03,5098,77,10322000,260,64571,24,200,5.0,7.5,24,180.0,4.8,1.27,2025-02-25T13:13:16.885776
S29450200014,2015-12-04,4247,99,10221000,205,87643,12,750,10.0,15.0,3,45.0,2.25,0.59,2025-02-25T13:13:16.885776
S29363900006,2015-12-07,4714,91,10310800,260,37996,12,750,8.25,12.38,12,148.56,9.0,2.38,2025-02-25T13:13:16.885776
S29413700003,2015-12-08,4510,65,10121000,115,11776,12,750,5.23,7.85,12,94.2,9.0,2.38,2025-02-25T13:13:16.885776
S29451300001,2015-12-09,3524,85,10121000,260,11297,12,1000,18.75,28.13,96,2700.48,96.0,25.36,2025-02-25T13:13:16.885776
S29450900040,2015-12-10,5144,77,10111000,55,23708,6,1750,7.33,11.0,6,66.0,10.5,2.77,2025-02-25T13:13:16.885776
S29564200012,2015-12-14,4229,83,10221000,434,89388,6,1750,13.5,20.25,24,486.0,42.0,11.1,2025-02-25T13:13:16.885776
S29558800004,2015-12-15,4783,74,10112000,259,17956,12,750,6.81,10.55,12,126.6,9.0,2.38,2025-02-25T13:13:16.885776
S29580600044,2015-12-16,3447,97,10816000,421,64868,6,1750,15.33,23.0,90,2070.0,157.5,41.61,2025-02-25T13:13:16.885776
S29580500026,2015-12-17,5144,77,10813000,434,80577,12,1000,3.84,5.76,12,69.12,12.0,3.17,2025-02-25T13:13:16.885776
S29645500001,2015-12-18,4487,57,10122000,260,5345,24,375,8.0,12.0,3,36.0,1.12,0.3,2025-02-25T13:13:16.885776
S29683300002,2015-12-21,4634,57,10121000,260,11290,10,300,7.35,11.03,10,110.3,3.0,0.79,2025-02-25T13:13:16.885776
S29745000030,2015-12-22,3876,13,10111000,297,23827,12,1000,4.4,6.6,4,26.4,4.0,1.06,2025-02-25T13:13:16.885776
S29761200010,2015-12-23,4370,91,10121000,115,11776,12,750,5.23,7.85,6,47.1,4.5,1.19,2025-02-25T13:13:16.885776
S29847000013,2015-12-24,4165,77,10310800,260,38006,12,750,8.25,12.38,8,99.04,6.0,1.59,2025-02-25T13:13:16.885776
S29749800005,2015-12-26,4624,57,10816000,421,64858,1,3000,29.72,44.58,2,89.16,6.0,1.59,2025-02-25T13:13:16.885776
S29795400009,2015-12-28,4733,77,10310800,260,38008,6,1750,14.75,22.13,6,132.78,10.5,2.77,2025-02-25T13:13:16.885776
S29862100019,2015-12-29,3447,97,10111000,297,23828,6,1750,7.46,11.19,24,268.56,42.0,11.1,2025-02-25T13:13:16.885776
S29850700001,2015-12-30,2633,77,10122100,260,905427,6,750,75.0,112.5,2,225.0,1.5,0.4,2025-02-25T13:13:16.885776
S29972600018,2015-12-31,4343,77,10829000,192,65254,24,375,6.52,9.78,10,97.8,3.75,0.99,2025-02-25T13:13:16.885776
S29898900001,2016-01-04,4560,83,10121000,260,11290,10,300,7.35,11.03,1,11.03,0.3,0.08,2025-02-25T13:13:16.885776
S29974100030,2016-01-05,4592,74,10623100,434,44658,6,1750,11.0,16.5,1,16.5,1.75,0.46,2025-02-25T13:13:16.885776
S29942400028,2016-01-06,4565,97,10829000,192,65254,24,375,6.52,9.78,4,39.12,1.5,0.4,2025-02-25T13:13:16.885776
S30040300008,2016-01-07,3054,79,10829000,461,64996,12,750,14.5,21.75,3,65.25,2.25,0.59,2025-02-25T13:13:16.885776
S30018200017,2016-01-11,4885,49,10812000,305,73053,6,1000,16.34,24.51,3,73.53,3.0,0.79,2025-02-25T13:13:16.885776
S30101800010,2016-01-12,2619,77,10121000,260,11294,24,375,7.75,11.63,3,34.89,1.12,0.3,2025-02-25T13:13:16.885776
S30092800029,2016-01-13,3447,97,10320800,35,34422,6,1000,22.5,33.75,12,405.0,12.0,3.17,2025-02-25T13:13:16.885776
S30103200007,2016-01-14,4751,82,10112000,65,27783,12,750,10.49,15.74,6,94.44,4.5,1.19,2025-02-25T13:13:16.885776
S30196800084,2016-01-15,2569,57,10813170,65,82636,12,750,6.3,9.45,2,18.9,1.5,0.4,2025-02-25T13:13:16.885776
S30208100009,2016-01-19,3420,77,10121000,260,11298,6,1750,31.99,47.99,150,7198.5,262.5,69.35,2025-02-25T13:13:16.885776
S30192600034,2016-01-20,4947,7,10111000,65,24454,24,375,3.15,4.73,2,9.46,0.75,0.2,2025-02-25T13:13:16.885776
S30216800046,2016-01-21,5144,77,10122100,260,4846,12,750,33.99,50.99,12,611.88,9.0,2.38,2025-02-25T13:13:16.885776
S30240800031,2016-01-25,4892,82,10111000,434,24156,12,750,3.5,5.25,1,5.25,0.75,0.2,2025-02-25T13:13:16.885776
S30325000017,2016-01-26,4231,75,10623000,35,43136,12,750,8.26,12.39,2,24.78,1.5,0.4,2025-02-25T13:13:16.885776
S30324700009,2016-01-27,4677,52,10122000,260,10008,6,1750,10.67,16.01,84,1344.84,147.0,38.83,2025-02-25T13:13:16.885776
S30318300006,2016-01-28,4713,52,10112000,259,17956,12,750,7.47,11.21,12,134.52,9.0,2.38,2025-02-25T13:13:16.885776
S30448600005,2016-02-01,5206,38,10221000,330,89496,12,750,7.51,11.27,4,45.08,3.0,0.79,2025-02-25T13:13:16.885776
S30450900013,2016-02-02,3477,78,10112000,55,21598,6,1750,8.74,13.36,12,160.32,21.0,5.55,2025-02-25T13:13:16.885776
S30433400017,2016-02-03,4975,97,10121000,115,11771,10,600,6.8,10.2,1,10.2,0.6,0.16,2025-02-25T13:13:16.885776
S30503200020,2016-02-04,4345,79,10411000,370,32233,48,200,1.99,2.99,5,14.95,1.0,0.26,2025-02-25T13:13:16.885776
S30548400005,2016-02-08,4401,57,10121000,115,11771,10,600,6.8,10.2,3,30.6,1.8,0.48,2025-02-25T13:13:16.885776
S30585200032,2016-02-09,3420,77,10829000,461,64996,12,750,14.5,21.75,12,261.0,9.0,2.38,2025-02-25T13:13:16.885776
S30585000035,2016-02-10,3447,97,10622000,434,45278,6,1750,7.84,11.76,6,70.56,10.5,2.77,2025-02-25T13:13:16.885776
S30584900002,2016-02-11,5144,77,10121000,115,11777,12,1000,6.63,9.95,12,119.4,12.0,3.17,2025-02-25T13:13:16.885776
S30709300002,2016-02-12,2190,77,10510100,115,53214,24,375,3.22,4.83,120,579.6,45.0,11.89,2025-02-25T13:13:16.885776
S30703200056,2016-02-15,3385,57,10221000,65,89787,12,1000,11.55,17.33,12,207.96,12.0,3.17,2025-02-25T13:13:16.885776
S30655200005,2016-02-16,4538,12,10813050,65,82607,12,1000,7.87,11.81,12,141.72,12.0,3.17,2025-02-25T13:13:16.885776
S30703000047,2016-02-17,3354,82,10122100,65,4636,6,750,26.24,39.36,6,236.16,4.5,1.19,2025-02-25T13:13:16.885776
S30703300048,2016-02-18,5144,77,10121000,260,10836,12,750,17.0,25.5,12,306.0,9.0,2.38,2025-02-25T13:13:16.885776
S30825400001,2016-02-19,4083,77,10112500,85,26906,6,750,27.09,40.64,1,40.64,0.75,0.2,2025-02-25T13:13:16.885776
S30811500013,2016-02-22,4953,23,10122100,370,5036,12,750,22.98,34.47,2,68.94,1.5,0.4,2025-02-25T13:13:16.885776
S30779300003,2016-02-23,4985,75,10121000,115,11788,6,1750,9.7,14.93,3,44.79,5.25,1.39,2025-02-25T13:13:16.885776
S30800500002,2016-02-24,4957,81,10121000,115,11788,6,1750,9.7,14.93,30,447.9,52.5,13.87,2025-02-25T13:13:16.885776
S30824300018,2016-02-25,5144,77,10112000,65,20247,12,1000,5.77,8.66,12,103.92,12.0,3.17,2025-02-25T13:13:16.885776
S30904300004,2016-02-29,2648,77,10123000,370,903550,6,750,34.99,52.49,6,314.94,4.5,1.19,2025-02-25T13:13:16.885776
S30912000044,2016-03-01,4474,78,10622000,35,43031,12,500,5.54,8.31,1,8.31,0.5,0.13,2025-02-25T13:13:16.885776
S30949500032,2016-03-02,3354,82,10810100,434,76488,6,1750,8.07,12.11,6,72.66,10.5,2.77,2025-02-25T13:13:16.885776
S30949000020,2016-03-03,3540,82,10112000,65,19068,6,1750,20.99,31.49,6,188.94,10.5,2.77,2025-02-25T13:13:16.885776
S31074400003,2016-03-04,9001,52,10111000,125,27464,6,750,18.66,27.99,24,671.76,18.0,4.76,2025-02-25T13:13:16.885776
S31001400013,2016-03-07,5089,43,10121000,260,10807,12,750,15.0,22.5,2,45.0,1.5,0.4,2025-02-25T13:13:16.885776
S31066900035,2016-03-08,3477,78,10111000,434,24157,12,1000,4.39,6.59,12,79.08,12.0,3.17,2025-02-25T13:13:16.885776
S31046800004,2016-03-09,4532,11,10310800,297,35916,12,750,3.37,5.06,12,60.72,9.0,2.38,2025-02-25T13:13:16.885776
S31066700020,2016-03-10,5144,77,10115000,260,27025,12,750,15.0,22.5,12,270.0,9.0,2.38,2025-02-25T13:13:16.885776
S31193200001,2016-03-11,2190,77,10121000,115,11774,24,375,3.07,4.61,72,331.92,27.0,7.13,2025-02-25T13:13:16.885776
S31186700014,2016-03-14,4303,29,10310800,434,36304,24,375,1.86,2.79,8,22.32,3.0,0.79,2025-02-25T13:13:16.885776
S31190100009,2016-03-15,3944,31,10816000,421,86888,6,1750,20.26,30.39,6,182.34,10.5,2.77,2025-02-25T13:13:16.885776
S31189300018,2016-03-16,3354,82,10829000,192,65257,12,1000,15.54,23.31,48,1118.88,48.0,12.68,2025-02-25T13:13:16.885776
S31189200015,2016-03-17,5227,,10310800,300,36904,24,375,1.8,2.7,24,64.8,9.0,2.38,2025-02-25T13:13:16.885776
S31294100003,2016-03-21,4880,15,10310800,259,35416,12,750,4.48,6.72,6,40.32,4.5,1.19,2025-02-25T13:13:16.885776
S31270000020,2016-03-22,4446,77,10310800,300,36886,12,750,3.31,4.97,12,59.64,9.0,2.38,2025-02-25T13:13:16.885776
S31315400010,2016-03-23,3354,82,10810100,55,73986,12,750,6.0,9.0,12,108.0,9.0,2.38,2025-02-25T13:13:16.885776
S31383700005,2016-03-24,4803,77,10113000,85,86670,12,750,15.07,22.61,12,271.32,9.0,2.38,2025-02-25T13:13:16.885776
S31443600004,2016-03-25,9001,52,10111000,125,27632,6,750,13.83,20.75,18,373.5,13.5,3.57,2025-02-25T13:13:16.885776
S31430100025,2016-03-28,4303,29,10813400,65,82827,12,1000,7.87,11.81,1,11.81,1.0,0.26,2025-02-25T13:13:16.885776
S31417200010,2016-03-29,3901,94,10622000,35,43036,12,750,8.26,12.39,12,148.68,9.0,2.38,2025-02-25T13:13:16.885776
S31417900001,2016-03-30,4737,11,10320800,370,34006,12,750,11.49,17.24,12,206.88,9.0,2.38,2025-02-25T13:13:16.885776
S31442600023,2016-03-31,5144,77,10112000,55,21597,12,1000,4.94,7.41,12,88.92,12.0,3.17,2025-02-25T13:13:16.885776
S31555200011,2016-04-04,4125,58,10112000,461,22157,12,1000,16.16,24.24,6,145.44,6.0,1.59,2025-02-25T13:13:16.885776
S31560000055,2016-04-05,3420,77,10122000,370,4717,12,1000,24.99,37.49,12,449.88,12.0,3.17,2025-02-25T13:13:16.885776
S31559400033,2016-04-06,3354,82,10322000,370,34029,12,1000,14.99,22.49,12,269.88,12.0,3.17,2025-02-25T13:13:16.885776
S31559700023,2016-04-07,5144,77,10411000,260,30317,12,1000,7.0,10.5,12,126.0,12.0,3.17,2025-02-25T13:13:16.885776
S31646500003,2016-04-11,4843,70,10121000,115,11774,24,375,3.07,4.61,4,18.44,1.5,0.4,2025-02-25T13:13:16.885776
S31680300022,2016-04-12,4260,20,10112000,55,21597,12,1000,4.94,7.41,1,7.41,1.0,0.26,2025-02-25T13:13:16.885776
S31683600046,2016-04-13,3354,82,10310800,301,38177,12,1000,11.92,17.88,24,429.12,24.0,6.34,2025-02-25T13:13:16.885776
S31737100027,2016-04-14,3540,82,10221000,370,88186,6,750,12.49,18.74,4,74.96,3.0,0.79,2025-02-25T13:13:16.885776
S31811100001,2016-04-15,9001,52,10112000,125,17206,6,750,18.1,27.15,18,488.7,13.5,3.57,2025-02-25T13:13:16.885776
S31747400017,2016-04-18,5195,78,10113000,85,26821,12,500,9.06,13.59,24,326.16,12.0,3.17,2025-02-25T13:13:16.885776
S31806900029,2016-04-19,3477,78,10711000,285,56957,12,1000,5.28,7.92,12,95.04,12.0,3.17,2025-02-25T13:13:16.885776
S31789900003,2016-04-20,4844,52,10623100,65,44306,12,750,5.78,8.67,2,17.34,1.5,0.4,2025-02-25T13:13:16.885776
S31806700022,2016-04-21,5144,77,10510100,259,52318,6,1750,11.83,17.75,6,106.5,10.5,2.77,2025-02-25T13:13:16.885776
S31840900034,2016-04-25,4468,70,10310800,421,36976,12,750,3.27,4.91,6,29.46,4.5,1.19,2025-02-25T13:13:16.885776
S31903600007,2016-04-26,4985,75,10510100,205,52595,12,750,6.0,9.0,6,54.0,4.5,1.19,2025-02-25T13:13:16.885776
S31922800010,2016-04-27,3447,97,10622000,35,43128,6,1750,15.0,22.5,12,270.0,21.0,5.55,2025-02-25T13:13:16.885776
S31922700032,2016-04-28,5144,77,10310800,434,36307,12,1000,4.05,6.08,12,72.96,12.0,3.17,2025-02-25T13:13:16.885776
S32048200005,2016-04-29,2190,77,10112000,55,21598,6,1750,9.24,13.86,6,83.16,10.5,2.77,2025-02-25T13:13:16.885776
S31973600011,2016-05-02,5047,57,10310800,260,37996,12,750,8.25,12.38,12,148.56,9.0,2.38,2025-02-25T13:13:16.885776
S32002800005,2016-05-03,4824,88,10310800,297,35916,12,750,3.37,5.06,12,60.72,9.0,2.38,2025-02-25T13:13:16.885776
S32047400012,2016-05-04,3524,85,10520100,420,48106,12,750,18.99,28.49,12,341.88,9.0,2.38,2025-02-25T13:13:16.885776
S32045700005,2016-05-05,4537,27,10310800,300,36904,24,375,1.8,2.7,24,64.8,9.0,2.38,2025-02-25T13:13:16.885776
S32178100004,2016-05-06,9002,82,10111000,306,27535,12,375,9.09,13.64,108,1473.12,40.5,10.7,2025-02-25T13:13:16.885776
S32122800003,2016-05-09,4180,57,10113000,85,26826,12,750,15.57,23.36,2,46.72,1.5,0.4,2025-02-25T13:13:16.885776
S32184200013,2016-05-10,5230,,10520100,420,48108,6,1750,43.49,65.24,1,65.24,1.75,0.46,2025-02-25T13:13:16.885776
S32061900002,2016-05-11,4251,85,10112000,65,919562,12,1000,39.37,59.06,10,590.6,10.0,2.64,2025-02-25T13:13:16.885776
S32221600022,2016-05-12,4482,91,10312000,380,41783,6,500,4.89,7.34,2,14.68,1.0,0.26,2025-02-25T13:13:16.885776
S32304800003,2016-05-13,9002,82,10111000,306,27289,6,750,19.17,28.76,36,1035.36,27.0,7.13,2025-02-25T13:13:16.885776
S32297100006,2016-05-16,4303,29,10310800,260,38008,6,1750,14.75,22.13,3,66.39,5.25,1.39,2025-02-25T13:13:16.885776
S32284900002,2016-05-17,3477,78,10122000,55,8828,6,1750,10.68,16.27,30,488.1,52.5,13.87,2025-02-25T13:13:16.885776
S32275700036,2016-05-18,2594,97,10411000,434,30528,6,1750,7.17,10.76,6,64.56,10.5,2.77,2025-02-25T13:13:16.885776
